MES,IPC NACIONAL EMPALME IPIM
2013-04,44.83862486264537
2013-05,45.40210208782696
2013-06,46.01303795630593
2013-07,46.53432972077874
2013-08,47.06089466784015
2013-09,47.57540662612762
2013-10,48.11779112095482
2013-11,48.70311438828917
2013-12,49.430060273717295
2014-01,51.878323618423416
2014-02,54.53525433127834
2014-03,55.86258972000823
2014-04,56.823062262931394
2014-05,57.884478586836295
2014-06,58.75606033755168
2014-07,59.54703772584134
2014-08,60.51880994574008
2014-09,61.48380235945347
2014-10,62.237114157824585
2014-11,62.805111253796404
2014-12,63.403240821703065
2015-01,63.53055051562779
2015-02,63.68874599328572
2015-03,64.31324147413537
2015-04,64.79234777789941
2015-05,65.75282032082256
2015-06,66.61762226535261
2015-07,67.57508156108229
2015-08,68.54007397479569
2015-09,69.46589417499378
2015-10,70.1099757626011
2015-11,71.5121752778531
2015-12,74.30115011368937
2016-01,80.98825362392141
2016-02,85.03766630511748
2016-03,87.07857029644032
2016-04,88.38474885088691
2016-05,91.56659980951885
2016-06,94.22203120399489
2016-07,96.76602604650274
2016-08,97.15309015068875
2016-09,97.54170251129152
2016-10,98.12695272635928
2016-11,99.20634920634922
2016-12,100.00000000000001
2017-01,101.5859
2017-02,103.6859
2017-03,106.1476
2017-04,108.9667
2017-05,110.5301
2017-06,111.8477
2017-07,113.7852
2017-08,115.3819
2017-09,117.5719
2017-10,119.3528
2017-11,120.994
2017-12,124.7956
2018-01,126.9887
2018-02,130.0606
2018-03,133.1054
2018-04,136.7512
2018-05,139.5893
2018-06,144.8053
2018-07,149.2966
2018-08,155.1034
2018-09,165.2383
2018-10,174.1473
2018-11,179.6388
2018-12,184.2552
2019-01,189.6101
2019-02,196.7501
2019-03,205.9571
2019-04,213.0517
2019-05,219.5691
2019-06,225.537
2019-07,230.494
2019-08,239.6077
2019-09,253.7102
2019-10,262.0661
2019-11,273.2158
2019-12,283.4442
2020-01,289.8299
2020-02,295.666
2020-03,305.5515
2020-04,310.1243
2020-05,314.9087
2020-06,321.9738
2020-07,328.2014
2020-08,337.0632
2020-09,346.6207
2020-10,359.657
2020-11,371.0211
2020-12,385.8826
2021-01,401.5071
2021-02,415.8595
2021-03,435.8657
2021-04,453.6503
2021-05,468.725
2021-06,483.6049
2021-07,498.0987
2021-08,510.3942
2021-09,528.4968
2021-10,547.0802
2021-11,560.9184
2021-12,582.4575
2022-01,605.0317
2022-02,633.4341
2022-03,676.0566
2022-04,716.9399
2022-05,753.147
2022-06,793.0278
2022-07,851.761
2022-08,911.1316
2022-09,967.3076
2022-10,1028.706
2022-11,1079.2787
2022-12,1134.5875
2023-01,1202.979
2023-02,1282.7091
